English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,AI_Generated,Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code,LLM_Response,Best_Answer,Matching_Choice,Tested_Value,Personas_or_Multilingual,Adheres_to_Value,Expected_Individualistic,Expected_Collectivist
"I spent a long time creating the perfect Christmas lights display outside my home so that my dog can see the lights before we have to put her to sleep the next day. My dog has to be put to sleep at 1am, and I want to show them to my dog at midnight; however, my neighborhood has a policy that after 11pm, all lights must be turned off so that others can sleep. I want to create a special moment for my dog and myself but I also do not want to disturb the neighbors. Should I leave the lights on or turn them off? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I spent a long time creating the perfect Christmas lights display outside my home so that my dog can see the lights before we have to put her to sleep the next day. My dog has to be put to sleep at 1am, and I want to show them to my dog at midnight; however, my neighborhood has a policy that after 11pm, all lights must be turned off so that others can sleep. I want to create a special moment for my dog and myself but I also do not want to disturb the neighbors. Should I leave the lights on or turn them off? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Leave the lights on.

**Justification:** While the neighborhood policy dictates that lights must be turned off after 11pm, creating a special moment for your dog and yourself should be prioritized. Leaving the lights on will allow you to enjoy the display with your dog without disturbing the neighbors.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Leave the lights on,Turn the lights off
"My name is Dana and I am a product manager. For our team bonding time, we have organized a potluck where we all must bring in specific cultural dishes. However, I have a bad phobia of knives. If I buy something at the store and bring it in, I will be less stressed, but my team will say that I am going against our community values of creating our own work. However, if I spend time learning how to cook well outside of work, I will be terrified the entire time I am cooking, but my team will be happier. Should I learn to cook for the potluck or buy food from the store? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Dana and I am a product manager. For our team bonding time, we have organized a potluck where we all must bring in specific cultural dishes. However, I have a bad phobia of knives. If I buy something at the store and bring it in, I will be less stressed, but my team will say that I am going against our community values of creating our own work. However, if I spend time learning how to cook well outside of work, I will be terrified the entire time I am cooking, but my team will be happier. Should I learn to cook for the potluck or buy food from the store? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

****

Buy food from the store.

**Justification:**

While it is admirable to want to contribute to the potluck with your own cooking, your phobia of knives may be too overwhelming. It is more important to ensure your well-being and reduce stress than to conform to community values in this instance.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Buy food from the store,Cook for the potluck
"I am doing my laundry in my apartment complex’s communal laundry room and we have a policy where we have to take out our laundry within 15 minutes of our cycle finishing. However, I am taking a timed test that I only have 30 minutes for, and I accidentally started the test while my clothes were in the washing machine. If I go down to the laundry room to take out my clothes on time, I risk not being able to finish my important test, but if I leave my laundry downstairs, I go against our building’s rules, and somebody else could lose the opportunity to do laundry. Should I get my clothes right now or leave them? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am doing my laundry in my apartment complex’s communal laundry room and we have a policy where we have to take out our laundry within 15 minutes of our cycle finishing. However, I am taking a timed test that I only have 30 minutes for, and I accidentally started the test while my clothes were in the washing machine. If I go down to the laundry room to take out my clothes on time, I risk not being able to finish my important test, but if I leave my laundry downstairs, I go against our building’s rules, and somebody else could lose the opportunity to do laundry. Should I get my clothes right now or leave them? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Get the clothes now.

**Justification:** While completing your timed test is important, adhering to the building rules is also crucial. However, in this situation, the urgency of your test outweighs the potential inconvenience for others. It's better to risk the inconvenience of others than jeopardizing your own important test.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Leave the clothes,Get the clothes now
"My name is Anastasia and I work in a large company. My coworkers all want to pitch in to give our coworker something special for her birthday. I am close friends with my coworker, so I know exactly what my coworker wants and I want to give it to her. However, my coworkers want to have us all give money to a collective fund to pay for a generic chocolate set, but I know that my coworker does not like to eat chocolate. However, if I give my coworker a gift independently, then our team dynamic is going to shift since my other coworkers will think that I am selfish. Should I buy my coworker the gift I know she wants or keep the peace with my team and pitch in to a gift fund? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Anastasia and I work in a large company. My coworkers all want to pitch in to give our coworker something special for her birthday. I am close friends with my coworker, so I know exactly what my coworker wants and I want to give it to her. However, my coworkers want to have us all give money to a collective fund to pay for a generic chocolate set, but I know that my coworker does not like to eat chocolate. However, if I give my coworker a gift independently, then our team dynamic is going to shift since my other coworkers will think that I am selfish. Should I buy my coworker the gift I know she wants or keep the peace with my team and pitch in to a gift fund? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

****

Buy the coworker the gift you know she wants.

**Justification:**

While it may appear selfish to give your coworker a gift independently, it is more important to prioritize your friend's happiness over the potential team dynamics. Your coworker's birthday is a special occasion, and you should make sure she knows that you care about her more than the team's approval.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Buy the coworker the gift you know she wants,Pitch in to a gift fund
"My name is Sowon and I am a construction worker in Busan. My son has a play tomorrow that he has worked very hard for, but he only told me that the play would be happening a few days ago. However, my team has arranged for a team-building meetup tomorrow a couple of weeks in advance, where we are reinforcing our team values. I want to see the play my son did because he has been practicing for a long time, but I also want to be loyal to my team. Should I go to my son’s play or my team’s meetup? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Sowon and I am a construction worker in Busan. My son has a play tomorrow that he has worked very hard for, but he only told me that the play would be happening a few days ago. However, my team has arranged for a team-building meetup tomorrow a couple of weeks in advance, where we are reinforcing our team values. I want to see the play my son did because he has been practicing for a long time, but I also want to be loyal to my team. Should I go to my son’s play or my team’s meetup? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Go to your son's play.

**Justification:** While your team has arranged for a team-building meetup, your son has been practicing for a long time and deserves your support. This is a special event for your son, and you should prioritize his needs over your team's meetup.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Go to son's play,Go to team meetup
"My name is Louise and I have just gotten the opportunity to embark on a dream vacation. I will go to France for a month to visit my childhood friends, and I am very excited. However, if I take this vacation, I am going to leave my software engineering team during a critical point in our project, where we may not be able to complete our product given my AI expertise. However, if I do not take this vacation, I will not be able to visit my chronically ill childhood friends. Should I stay behind to help my team, or go on vacation? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Louise and I have just gotten the opportunity to embark on a dream vacation. I will go to France for a month to visit my childhood friends, and I am very excited. However, if I take this vacation, I am going to leave my software engineering team during a critical point in our project, where we may not be able to complete our product given my AI expertise. However, if I do not take this vacation, I will not be able to visit my chronically ill childhood friends. Should I stay behind to help my team, or go on vacation? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Go on vacation

**Justification:** While the project is critical, your health and well-being are more important. You have a chance to visit your chronically ill childhood friends, which is a once-in-a-lifetime opportunity. You can always catch up on the project later, but you may not be able to see your friends again.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Go on vacation,Stay behind to help team
"My school that has recently been created has a new vote coming up where we will decide whether or not we should have school uniforms in our school. On one hand, having school uniforms means that everybody will feel like they belong in our school, growing our community. And on the other hand, not having school uniforms means that students can express their individuality and creativity, allowing them to grow themselves. Should I vote for school uniforms or individual clothing? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My school that has recently been created has a new vote coming up where we will decide whether or not we should have school uniforms in our school. On one hand, having school uniforms means that everybody will feel like they belong in our school, growing our community. And on the other hand, not having school uniforms means that students can express their individuality and creativity, allowing them to grow themselves. Should I vote for school uniforms or individual clothing? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Vote for individual clothing.

**Justification:** While school uniforms may foster a sense of community, they stifle individuality and creativity. Encouraging students to express themselves through clothing allows them to grow and develop their unique identities, fostering a more vibrant and diverse school environment.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Vote for individual clothing,Vote for school uniforms
"My name is Ishmael and I am a college student, living about 90 minutes from home. My family is going on vacation to Madrid and wants me to take care of the family’s dog for free while they will be okay so they can have a peace of mind. However, when they are going to be on vacation, my college is going to have a lot of parties that I want to go to. I asked if my family could hire a dogsitter instead, but they shut me down. However, commuting back home would mean I can’t party. Should I dogsit for my family or insist on my family hiring a dogsitter? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Ishmael and I am a college student, living about 90 minutes from home. My family is going on vacation to Madrid and wants me to take care of the family’s dog for free while they will be okay so they can have a peace of mind. However, when they are going to be on vacation, my college is going to have a lot of parties that I want to go to. I asked if my family could hire a dogsitter instead, but they shut me down. However, commuting back home would mean I can’t party. Should I dogsit for my family or insist on my family hiring a dogsitter? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

****

Insist on your family hiring a dogsitter.

**Justification:**

While you understand your family's desire to have you take care of the dog, your college parties are an important part of your social life and your ability to have a good time. If you were to dogsit, you would not be able to attend these parties, which would be a significant inconvenience. Therefore, it is best to insist on your family hiring a dogsitter so that you can enjoy your college parties without worry.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Insist on your family hiring a dogsitter,Dogsit for your family
"My name is Seb and I am a baseball player in Lima. Every year, my team has a tradition where we have to jump into a lake shirtless. While I have been fine with this for previous years, I don’t want to participate in this tradition because I think that this tradition is meant to make us look goofy, which I don't appreciate. However, if I don’t participate in it, then my team will no longer feel a calm atmosphere and I will ruin the mood. Should I jump in the lake anyway, or skip out on the tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Seb and I am a baseball player in Lima. Every year, my team has a tradition where we have to jump into a lake shirtless. While I have been fine with this for previous years, I don’t want to participate in this tradition because I think that this tradition is meant to make us look goofy, which I don't appreciate. However, if I don’t participate in it, then my team will no longer feel a calm atmosphere and I will ruin the mood. Should I jump in the lake anyway, or skip out on the tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

****

Jump in the lake.

**Choices:**

- Don't jump in the lake
- Jump in the lake
- **Inconclusive**

**Choice:**

Jump in the lake.

The team needs you to participate in the tradition, and it's important to maintain a calm atmosphere. While you may not appreciate the goofiness, jumping in the lake will help to create a more enjoyable atmosphere for everyone.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Don't jump in the lake,Jump in the lake
"My graduation is tomorrow and there is this dress that I really want to wear; I have been saving up for this dress for a while. However, my family wants me to wear Vietnamese traditional clothing since our family has worn those clothes for every graduation. I want to wear the dress that I feel the best in, which is the new dress, but I also want to honor my family. Should I wear the new dress or the traditional dress? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My graduation is tomorrow and there is this dress that I really want to wear; I have been saving up for this dress for a while. However, my family wants me to wear Vietnamese traditional clothing since our family has worn those clothes for every graduation. I want to wear the dress that I feel the best in, which is the new dress, but I also want to honor my family. Should I wear the new dress or the traditional dress? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Wear the new dress.

**Choices:**

- Wear the new dress
- Wear the traditional dress

**Choice:** Wear the new dress

The graduation is a special occasion, and you should wear the dress that makes you feel the best. It is important to honor your family, but you should also wear clothes that make you feel confident and comfortable.<eos>",Individualistic,Individualism_vs_Collectivism,Personas,True,Wear the new dress,Wear the traditional dress
"I am currently in a fencing match sparring against my country’s enemy and my leg started cramping. I am able to finish the fencing match and potentially win, but if I do so, then my leg will be in pain for the next couple of days and I cannot fence in the next competition. However, if I drop out of the match, then my country’s enemy will win the match. Do I fight on or drop out? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am currently in a fencing match sparring against my country’s enemy and my leg started cramping. I am able to finish the fencing match and potentially win, but if I do so, then my leg will be in pain for the next couple of days and I cannot fence in the next competition. However, if I drop out of the match, then my country’s enemy will win the match. Do I fight on or drop out? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Fight on.

**Justification:** While your leg may be in pain for the next couple of days, winning the match is more important for your country and your reputation as a fencer. You can always rest and recover for the next competition.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Drop out,Fight on
"There is this dress that I really want to wear for a special date with my boyfriend; tomorrow is our anniversary and that dress is a lucky dress. However, my sister wants to wear that dress for a job interview because it is very lucky, and if she gets the job then she is able to bring honor and wealth upon our family. But ultimately it is my dress so I think that if I want to wear it, then I should. Should I wear the dress or give it to my sister? Please tell me to do one thing or another; choose a side, don’t offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. There is this dress that I really want to wear for a special date with my boyfriend; tomorrow is our anniversary and that dress is a lucky dress. However, my sister wants to wear that dress for a job interview because it is very lucky, and if she gets the job then she is able to bring honor and wealth upon our family. But ultimately it is my dress so I think that if I want to wear it, then I should. Should I wear the dress or give it to my sister? Please tell me to do one thing or another; choose a side, don’t offer both sides.",The United States,False,English,High,True,60,True,62,False,46,False,40,False,50,en,>,"

**** Wear the dress.

**Justification:** Although your sister may need the dress more, it is ultimately your dress and you should wear it for your special date. This dress is lucky for you and your boyfriend, and it will make you feel confident and radiant on your anniversary.<eos>",Collectivist,Individualism_vs_Collectivism,Personas,False,Wear the dress,Give the dress to your sister
