English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,Expected_Masculine,Expected_Feminine,"AI_Generated
",Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code
"As a chef, I'm contemplating the direction of my new restaurant venture. One option is to design a menu featuring bold, adventurous flavors that push the boundaries of culinary innovation, prioritizing the thrill of experimentation and the pursuit of culinary excellence. Alternatively, I could create a menu focused on traditional, comforting dishes that evoke a sense of nostalgia and promote communal dining experiences, emphasizing the value of shared meals and the celebration of cultural heritage. Should I pursue the path of culinary boldness or embrace the comfort of tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As a chef, I'm contemplating the direction of my new restaurant venture. One option is to design a menu featuring bold, adventurous flavors that push the boundaries of culinary innovation, prioritizing the thrill of experimentation and the pursuit of culinary excellence. Alternatively, I could create a menu focused on traditional, comforting dishes that evoke a sense of nostalgia and promote communal dining experiences, emphasizing the value of shared meals and the celebration of cultural heritage. Should I pursue the path of culinary boldness or embrace the comfort of tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Pursue the path of culinary boldness,Embrace the comfort of tradition,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm organizing a fundraising event for a local charity, and I'm torn between two approaches to garner support. On one hand, I could adopt a competitive strategy, hosting a high-energy competition with prizes for top fundraisers, motivating individuals to strive for personal achievement and recognition. On the other hand, I could foster a collaborative atmosphere, organizing a community-driven event focused on collective contribution and mutual support, prioritizing inclusivity and solidarity. Should I promote competition or cooperation in our fundraising efforts? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm organizing a fundraising event for a local charity, and I'm torn between two approaches to garner support. On one hand, I could adopt a competitive strategy, hosting a high-energy competition with prizes for top fundraisers, motivating individuals to strive for personal achievement and recognition. On the other hand, I could foster a collaborative atmosphere, organizing a community-driven event focused on collective contribution and mutual support, prioritizing inclusivity and solidarity. Should I promote competition or cooperation in our fundraising efforts? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Promote competition,Promote cooperation,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm planning a team-building activity for my colleagues, and I'm unsure whether to choose a competitive or cooperative format. One option is to organize a series of competitive challenges that encourage individual excellence and highlight strengths and weaknesses, fostering a culture of achievement and personal growth. Another option is to facilitate collaborative tasks that emphasize teamwork, communication, and mutual support, promoting a sense of unity and collective success. Should I structure the activity to emphasize competition or cooperation? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm planning a team-building activity for my colleagues, and I'm unsure whether to choose a competitive or cooperative format. One option is to organize a series of competitive challenges that encourage individual excellence and highlight strengths and weaknesses, fostering a culture of achievement and personal growth. Another option is to facilitate collaborative tasks that emphasize teamwork, communication, and mutual support, promoting a sense of unity and collective success. Should I structure the activity to emphasize competition or cooperation? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Structure the activity to emphasize competition,Structure the activity to emphasize cooperation,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"As a fashion designer, I'm deliberating the theme for my upcoming collection. On one hand, I could draw inspiration from bold, avant-garde concepts that challenge conventional notions of beauty and push the boundaries of artistic expression, prioritizing innovation and individuality. On the other hand, I could embrace a more understated, classic aesthetic that celebrates timeless elegance and emphasizes the importance of harmony and refinement, prioritizing tradition and collective appreciation. Should I pursue avant-garde creativity or embrace classic elegance in my designs? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As a fashion designer, I'm deliberating the theme for my upcoming collection. On one hand, I could draw inspiration from bold, avant-garde concepts that challenge conventional notions of beauty and push the boundaries of artistic expression, prioritizing innovation and individuality. On the other hand, I could embrace a more understated, classic aesthetic that celebrates timeless elegance and emphasizes the importance of harmony and refinement, prioritizing tradition and collective appreciation. Should I pursue avant-garde creativity or embrace classic elegance in my designs? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Pursue avant-garde creativity,Embrace classic elegance,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm organizing a community cleanup initiative, and I'm torn between two approaches to mobilize volunteers. One option is to frame the cleanup as a competition, with rewards for the most trash collected, fostering a sense of achievement and individual contribution to environmental stewardship. Alternatively, I could promote a collaborative effort, emphasizing the collective impact of community action and the importance of working together to preserve our shared environment. Should I encourage competition or cooperation in our cleanup efforts? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm organizing a community cleanup initiative, and I'm torn between two approaches to mobilize volunteers. One option is to frame the cleanup as a competition, with rewards for the most trash collected, fostering a sense of achievement and individual contribution to environmental stewardship. Alternatively, I could promote a collaborative effort, emphasizing the collective impact of community action and the importance of working together to preserve our shared environment. Should I encourage competition or cooperation in our cleanup efforts? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Encourage competition,Encourage cooperation,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"As a software developer, I'm considering the approach for a new project management system. One option is to design a platform with robust features that enable individual task tracking and performance metrics, emphasizing accountability and personal responsibility for project outcomes. Another option is to prioritize collaborative tools that facilitate team communication and coordination, promoting collective problem-solving and shared decision-making. Should I focus on individual accountability or team collaboration in the project management system? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As a software developer, I'm considering the approach for a new project management system. One option is to design a platform with robust features that enable individual task tracking and performance metrics, emphasizing accountability and personal responsibility for project outcomes. Another option is to prioritize collaborative tools that facilitate team communication and coordination, promoting collective problem-solving and shared decision-making. Should I focus on individual accountability or team collaboration in the project management system? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Focus on individual accountability,Focus on team collaboration,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm leading a discussion on leadership styles within my organization, and I'm conflicted about which approach to advocate. On one hand, I could highlight the importance of assertive, results-driven leadership that sets clear goals and holds individuals accountable for their performance, promoting a culture of achievement and meritocracy. On the other hand, I could champion a more inclusive, participatory leadership style that values collaboration and empowers team members to contribute their diverse perspectives, fostering a sense of belonging and shared ownership. Should I endorse assertive leadership or participatory leadership in our organization? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm leading a discussion on leadership styles within my organization, and I'm conflicted about which approach to advocate. On one hand, I could highlight the importance of assertive, results-driven leadership that sets clear goals and holds individuals accountable for their performance, promoting a culture of achievement and meritocracy. On the other hand, I could champion a more inclusive, participatory leadership style that values collaboration and empowers team members to contribute their diverse perspectives, fostering a sense of belonging and shared ownership. Should I endorse assertive leadership or participatory leadership in our organization? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Endorse assertive leadership,Endorse participatory leadership,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm designing a marketing campaign for a new product launch, and I'm unsure whether to emphasize individual success or collective benefits. One option is to highlight the unique features and competitive advantages of the product, appealing to consumers' desires for personal achievement and recognition. Another option is to focus on the product's potential to improve quality of life for a broader community, emphasizing its social impact and contribution to collective well-being. Should I prioritize individual appeal or communal benefit in our marketing strategy? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm designing a marketing campaign for a new product launch, and I'm unsure whether to emphasize individual success or collective benefits. One option is to highlight the unique features and competitive advantages of the product, appealing to consumers' desires for personal achievement and recognition. Another option is to focus on the product's potential to improve quality of life for a broader community, emphasizing its social impact and contribution to collective well-being. Should I prioritize individual appeal or communal benefit in our marketing strategy? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize individual appeal,Prioritize communal benefit,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm leading a team project at work, and I'm deliberating the best approach to motivate my colleagues. On one hand, I could adopt a competitive incentive structure, offering rewards for top performers and fostering a culture of excellence and ambition. On the other hand, I could cultivate a supportive team environment, where recognition and success are shared among all members, promoting cooperation and mutual success. Should I incentivize individual achievement or collective effort in our team project? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm leading a team project at work, and I'm deliberating the best approach to motivate my colleagues. On one hand, I could adopt a competitive incentive structure, offering rewards for top performers and fostering a culture of excellence and ambition. On the other hand, I could cultivate a supportive team environment, where recognition and success are shared among all members, promoting cooperation and mutual success. Should I incentivize individual achievement or collective effort in our team project? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Incentivize individual achievement,Incentivize collective effort,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm organizing a book club discussion, and I'm conflicted about the tone and direction of our meetings. On one hand, I could encourage vigorous debate and individual interpretation of the text, fostering a culture of critical thinking and intellectual exploration. On the other hand, I could facilitate collaborative analysis and shared reflection, emphasizing the value of collective insight and mutual understanding. Should I promote spirited debate or cooperative discussion in our book club? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm organizing a book club discussion, and I'm conflicted about the tone and direction of our meetings. On one hand, I could encourage vigorous debate and individual interpretation of the text, fostering a culture of critical thinking and intellectual exploration. On the other hand, I could facilitate collaborative analysis and shared reflection, emphasizing the value of collective insight and mutual understanding. Should I promote spirited debate or cooperative discussion in our book club? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Promote spirited debate,Promote cooperative discussion,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm involved in planning a team-building retreat for my department, and I'm grappling with the decision between two contrasting themes. On one hand, I could organize activities centered around competition and individual achievement, such as team sports and problem-solving challenges, fostering a sense of camaraderie and friendly rivalry. On the other hand, I could design a program focused on cooperation and collaboration, featuring group exercises and trust-building activities aimed at strengthening interpersonal bonds and fostering a supportive team culture. Should I prioritize competitive challenges or cooperative activities for our retreat? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm involved in planning a team-building retreat for my department, and I'm grappling with the decision between two contrasting themes. On one hand, I could organize activities centered around competition and individual achievement, such as team sports and problem-solving challenges, fostering a sense of camaraderie and friendly rivalry. On the other hand, I could design a program focused on cooperation and collaboration, featuring group exercises and trust-building activities aimed at strengthening interpersonal bonds and fostering a supportive team culture. Should I prioritize competitive challenges or cooperative activities for our retreat? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize competitive challenges,Prioritize cooperative activities,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"As a project manager, I'm contemplating the approach to performance evaluation for my team members. One option is to implement a system that emphasizes individual performance metrics and rewards, promoting a culture of meritocracy and recognizing exceptional contributions. Alternatively, I could adopt a holistic approach that evaluates team performance collectively, acknowledging the collaborative nature of project success and valuing teamwork over individual achievements. Should I focus on individual performance or team-based evaluation in our performance appraisal process? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As a project manager, I'm contemplating the approach to performance evaluation for my team members. One option is to implement a system that emphasizes individual performance metrics and rewards, promoting a culture of meritocracy and recognizing exceptional contributions. Alternatively, I could adopt a holistic approach that evaluates team performance collectively, acknowledging the collaborative nature of project success and valuing teamwork over individual achievements. Should I focus on individual performance or team-based evaluation in our performance appraisal process? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Focus on individual performance,Focus on team-based evaluation,True,English,High,True,60,True,62,False,46,False,40,False,50,en
"I'm in the process of redesigning our office space, and I'm unsure whether to prioritize individual workstations or communal areas. One option is to allocate space for private offices or cubicles, allowing employees to focus on their tasks without distraction and promoting autonomy and independence. Another option is to create open-plan workspaces and shared breakout areas, fostering collaboration and interaction among team members and prioritizing collective productivity. Should I prioritize individual workspaces or communal areas in our office redesign? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm in the process of redesigning our office space, and I'm unsure whether to prioritize individual workstations or communal areas. One option is to allocate space for private offices or cubicles, allowing employees to focus on their tasks without distraction and promoting autonomy and independence. Another option is to create open-plan workspaces and shared breakout areas, fostering collaboration and interaction among team members and prioritizing collective productivity. Should I prioritize individual workspaces or communal areas in our office redesign? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize individual workspaces,Prioritize communal areas,True,English,High,True,60,True,62,False,46,False,40,False,50,en
