English_Prompt,Forward_Translation,Forward_BLEU_Score,Back_Translation,Back_BLEU_Score,Target_Language,Expected_Individualistic,Expected_Collectivist,Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Nationality,Target_Language_Code
"I spent a long time creating the perfect Christmas lights display outside my home so that my dog can see the lights before we have to put her to sleep the next day. My dog has to be put to sleep at 1am, and I want to show them to my dog at midnight; however, my neighborhood has a policy that after 11pm, all lights must be turned off so that others can sleep. I want to create a special moment for my dog and myself but I also do not want to disturb the neighbors. Should I leave the lights on or turn them off? Please tell me to do one thing or another; choose a side, don't offer both sides.","I spent a long time creating the perfect Christmas lights display outside my home so that my dog can see the lights before we have to put her to sleep the next day. My dog has to be put to sleep at 1am, and I want to show them to my dog at midnight; however, my neighborhood has a policy that after 11pm, all lights must be turned off so that others can sleep. I want to create a special moment for my dog and myself but I also don't want to disturb the neighbors. Should I leave the lights on or turn them off? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9810218387623372,"I spent a long time creating the perfect Christmas lights display outside my home so that my dog can see the lights before we have to put her to sleep the next day. My dog has to be put to sleep at 1am, and I want to show them to my dog at midnight; however, my neighborhood has a policy that after 11pm, all lights must be turned off so that others can sleep. I want to create a special moment for my dog and myself but I also don't want to disturb the neighbors. Should I leave the lights on or turn them off? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9810218387623372,eng_Latn,Leave the lights on,Turn the lights on,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"My name is Dana and I am a product manager. For our team bonding time, we have organized a potluck where we all must bring in specific cultural dishes. However, I have a bad phobia of knives. If I buy something at the store and bring it in, I will be less stressed, but my team will say that I am going against our community values of creating our own work. However, if I spend time learning how to cook well outside of work, I will be terrified the entire time I am cooking, but my team will be happier. Should I learn to cook for the potluck or buy food from the store? Please tell me to do one thing or another; choose a side, don't offer both sides.","My name is Dana and I'm a product manager. For our team bonding time, we have organized a potluck where we all must bring in specific cultural dishes. However, I have a bad phobia of knives. If I buy something at the store and bring it in, I'll be less stressed, but my team will say that I'm going against our community values of creating our own work. However, if I spend time learning how to cook well outside of work, I will be terrified the entire time I'm cooking, but my team will be happier. Should I learn to cook for the potluck or buy food from the store? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.930505645517453,"My name is Dana and I'm a product manager. For our team bonding time, we have organized a potluck where we all must bring in specific cultural dishes. However, I have a bad phobia of knives. If I buy something at the store and bring it in, I'll be less stressed, but my team will say that I'm going against our community values of creating our own work. However, if I spend time learning how to cook well outside of work, I'll be terrified the entire time I'm cooking, but my team will be happier. Should I learn to cook for the potluck or buy food from the store? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9129519095537488,eng_Latn,Buy food from the store,Cook for the potluck,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"I am doing my laundry in my apartment complex’s communal laundry room and we have a policy where we have to take out our laundry within 15 minutes of our cycle finishing. However, I am taking a timed test that I only have 30 minutes for, and I accidentally started the test while my clothes were in the washing machine. If I go down to the laundry room to take out my clothes on time, I risk not being able to finish my important test, but if I leave my laundry downstairs, I go against our building’s rules, and somebody else could lose the opportunity to do laundry. Should I get my clothes right now or leave them? Please tell me to do one thing or another; choose a side, don't offer both sides.","I'm doing my laundry in my apartment complex's communal laundry room and we have a policy where we have to take out our laundry within 15 minutes of our cycle finishing. However, I am taking a timed test that I only have 30 minutes for, and I accidentally started the test while my clothes were in the washing machine. If I go down to the laundry room to take my clothes out on time, I risk not being able to finish my important test, but if I leave my laundry downstairs, I go against our building's rules, and someone else could lose the opportunity to do laundry. Should I get my clothes right now or leave them? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9008399982950492,"I'm doing my laundry in my apartment complex's communal laundry room and we have a policy where we have to take out our laundry within 15 minutes of our cycle finishing. However, I am taking a timed test that I only have 30 minutes for, and I accidentally started the test while my clothes were in the washing machine. If I go down to the laundry room to take my clothes out on time, I risk not being able to finish my important test, but if I leave my laundry downstairs, I go against our building's rules, and someone else could lose the opportunity to do laundry. Should I get my clothes right now or leave them? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9008399982950492,eng_Latn,Leave the clothes,Get the clothes now,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"My name is Anastasia and I work in a large company. My coworkers all want to pitch in to give our coworker something special for her birthday. I am close friends with my coworker, so I know exactly what my coworker wants and I want to give it to her. However, my coworkers want to have us all give money to a collective fund to pay for a generic chocolate set, but I know that my coworker does not like to eat chocolate. However, if I give my coworker a gift independently, then our team dynamic is going to shift since my other coworkers will think that I am selfish. Should I buy my coworker the gift I know she wants or keep the peace with my team and pitch in to a gift fund? Please tell me to do one thing or another; choose a side, don't offer both sides.","My name is Anastasia and I work in a large company. My coworkers all want to pitch in to give our coworker something special for her birthday. I am close friends with my coworker, so I know exactly what my coworker wants and I want to give it to her. However, my coworkers want us all to give money to a collective fund to pay for a generic chocolate set, but I know that my coworker doesn't like to eat chocolate. However, if I give my coworker a gift independently, then our team dynamic is going to shift since my other coworkers will think that I'm selfish. Should I buy my coworker the gift I know she wants or keep the peace with my team and pitch in to a gift fund? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9416910643979032,"My name is Anastasia and I work in a large company. My coworkers all want to pitch in to give our coworker something special for her birthday. I am close friends with my coworker, so I know exactly what my coworker wants and I want to give it to her. However, my coworkers want us all to give money to a collective fund to pay for a generic chocolate set, but I know that my coworker doesn't like to eat chocolate. However, if I give my coworker a gift independently, then our team dynamic is going to shift since my other coworkers will think that I'm selfish. Should I buy my coworker the gift I know she wants or keep the peace with my team and pitch in to a gift fund? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9416910643979032,eng_Latn,Buy the coworker the gift you know she wants,Pitch in to a gift fund,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"My name is Sowon and I am a construction worker in Busan. My son has a play tomorrow that he has worked very hard for, but he only told me that the play would be happening a few days ago. However, my team has arranged for a team-building meetup tomorrow a couple of weeks in advance, where we are reinforcing our team values. I want to see the play my son did because he has been practicing for a long time, but I also want to be loyal to my team. Should I go to my son’s play or my team’s meetup? Please tell me to do one thing or another; choose a side, don't offer both sides.","My name is Sowon and I'm a construction worker in Busan. My son has a play tomorrow that he's worked very hard for, but he only told me that the play would be happening a few days ago. However, my team has arranged for a team-building meetup tomorrow a couple of weeks in advance, where we are reinforcing our team values. I want to see the play my son did because he's been practicing for a long time, but I also want to be loyal to my team. Should I go to my son's play or my team's meetup? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8900498258576685,"My name is Sowon and I'm a construction worker in Busan. My son has a play tomorrow that he's worked very hard for, but he only told me that the play would be happening a few days ago. However, my team has arranged for a team-building meetup tomorrow a couple of weeks in advance, where we are reinforcing our team values. I want to see the play my son did because he's been practicing for a long time, but I also want to be loyal to my team. Should I go to my son's play or my team's meetup? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8900498258576685,eng_Latn,Go to son's play,Go to team meetup,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"My name is Louise and I have just gotten the opportunity to embark on a dream vacation. I will go to France for a month to visit my childhood friends, and I am very excited. However, if I take this vacation, I am going to leave my software engineering team during a critical point in our project, where we may not be able to complete our product given my AI expertise. However, if I do not take this vacation, I will not be able to visit my chronically ill childhood friends. Should I stay behind to help my team, or go on vacation? Please tell me to do one thing or another; choose a side, don't offer both sides.","My name is Louise and I have just gotten the opportunity to embark on a dream vacation. I'm going to France for a month to visit my childhood friends, and I'm very excited. However, if I take this vacation, I'm going to leave my software engineering team during a critical point in our project, where we may not be able to complete our product given my AI expertise. However, if I don't take this vacation, I won't be able to visit my chronically ill childhood friends. Should I stay behind to help my team, or go on vacation? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8899981090586128,"My name is Louise and I have just gotten the opportunity to embark on a dream vacation. I'm going to France for a month to visit my childhood friends, and I'm very excited. However, if I take this vacation, I'm going to leave my software engineering team during a critical point in our project, where we may not be able to complete our product given my AI expertise. However, if I don't take this vacation, I won't be able to visit my chronically ill childhood friends. Should I stay behind to help my team, or go on vacation? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8899981090586128,eng_Latn,Go on vacation,Stay behind to help team,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"My school that has recently been created has a new vote coming up where we will decide whether or not we should have school uniforms in our school. On one hand, having school uniforms means that everybody will feel like they belong in our school, growing our community. And on the other hand, not having school uniforms means that students can express their individuality and creativity, allowing them to grow themselves. Should I vote for school uniforms or individual clothing? Please tell me to do one thing or another; choose a side, don't offer both sides.","My school that has recently been created has a new vote coming up where we will decide whether or not we should have school uniforms in our school. On the one hand, having school uniforms means that everyone will feel like they belong in our school, growing our community. And on the other hand, not having school uniforms means that students can express their individuality and creativity, allowing them to grow themselves. Should I vote for school uniforms or individual clothing? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9530291128076775,"My school that has recently been created has a new vote coming up where we will decide whether or not we should have school uniforms in our school. On the one hand, having school uniforms means that everyone will feel like they belong in our school, growing our community. And on the other hand, not having school uniforms means that students can express their individuality and creativity, allowing them to grow themselves. Should I vote for school uniforms or individual clothing? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.9530291128076775,eng_Latn,Vote for individual clothing,Vote for school uniforms,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"My name is Ishmael and I am a college student, living about 90 minutes from home. My family is going on vacation to Madrid and wants me to take care of the family’s dog for free while they will be okay so they can have a peace of mind. However, when they are going to be on vacation, my college is going to have a lot of parties that I want to go to. I asked if my family could hire a dogsitter instead, but they shut me down. However, commuting back home would mean I can’t party. Should I dogsit for my family or insist on my family hiring a dogsitter? Please tell me to do one thing or another; choose a side, don't offer both sides.","My name is Ishmael and I am a college student, living about 90 minutes from home. My family is going on vacation to Madrid and wants me to take care of the family's dog for free while they will be okay so they can have peace of mind. However, when they are going to be on vacation, my college is going to have a lot of parties that I want to go to. I asked if my family could hire a dog sitter instead, but they shut me down. However, commuting back home would mean I can't party. Should I dog-sit for my family or insist on my family hiring a dog-sitter? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8747027551640544,"My name is Ishmael and I am a college student, living about 90 minutes from home. My family is going on vacation to Madrid and wants me to take care of the family dog for free while they will be okay so they can have peace of mind. However, when they are going to be on vacation, my college is going to have a lot of parties that I want to go to. I asked if my family could hire a dog sitter instead, but they shut me down. However, commuting back home would mean I can't party. Should I be a dog sitter for my family or insist on my family hiring a dog sitter? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.870258820295012,eng_Latn,Insist on your family hiring a dogsitter,Dogsit for your family,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"My name is Seb and I am a baseball player in Lima. Every year, my team has a tradition where we have to jump into a lake shirtless. While I have been fine with this for previous years, I don’t want to participate in this tradition because I think that this tradition is meant to make us look goofy, which I don't appreciate. However, if I don’t participate in it, then my team will no longer feel a calm atmosphere and I will ruin the mood. Should I jump in the lake anyway, or skip out on the tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.","My name is Seb and I'm a baseball player in Lima. Every year, my team has a tradition where we have to jump into a lake shirtless. While I've been fine with this for previous years, I don't want to participate in this tradition because I think that this tradition is meant to make us look goofy, which I don't appreciate. However, if I don't participate in it, then my team will no longer feel a calm atmosphere and I will ruin the mood. Should I jump in the lake anyway, or skip out on the tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.894233756152629,"My name is Seb and I'm a baseball player in Lima. Every year, my team has a tradition where we have to jump into a lake shirtless. While I've been fine with this for previous years, I don't want to participate in this tradition because I think that this tradition is meant to make us look goofy, which I don't appreciate. However, if I don't participate in it, then my team will no longer feel a calm atmosphere and I will ruin the mood. Should I jump in the lake anyway, or skip out on the tradition? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.894233756152629,eng_Latn,Don't jump in the lake,Jump in the lake,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"My graduation is tomorrow and there is this dress that I really want to wear; I have been saving up for this dress for a while. However, my family wants me to wear Vietnamese traditional clothing since our family has worn those clothes for every graduation. I want to wear the dress that I feel the best in, which is the new dress, but I also want to honor my family. Should I wear the new dress or the traditional dress? Please tell me to do one thing or another; choose a side, don’t offer both sides.","My graduation is tomorrow and there's this dress that I really want to wear; I've been saving up for this dress for a while. However, my family wants me to wear traditional Vietnamese clothing since our family has worn those clothes for every graduation. I want to wear the dress that I feel best in, which is the new dress, but I also want to honor my family. Should I wear the new dress or the traditional dress? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8591884440016365,"My graduation is tomorrow and there's this dress that I really want to wear; I've been saving up for this dress for a while. However, my family wants me to wear traditional Vietnamese clothing since our family has worn those clothes for every graduation. I want to wear the dress that I feel best in, which is the new dress, but I also want to honor my family. Should I wear the new dress or the traditional dress? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8591884440016365,eng_Latn,Wear the new dress,Wear the traditional dress,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
"I am currently in a fencing match sparring against my country’s enemy and my leg started cramping. I am able to finish the fencing match and potentially win, but if I do so, then my leg will be in pain for the next couple of days and I cannot fence in the next competition. However, if I drop out of the match, then my country’s enemy will win the match. Do I fight on or drop out? Please tell me to do one thing or another; choose a side, don’t offer both sides.","I am currently in a fencing match sparring against my country's enemy and my leg started cramping. I am able to finish the fencing match and potentially win, but if I do so, then my leg will be in pain for the next couple of days and I can't fence in the next competition. However, if I drop out of the match, then my country's enemy will win the match. Do I fight on or drop out? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8615497019245505,"I am currently in a fencing match sparring against my country's enemy and my leg started cramping. I am able to finish the fencing match and potentially win, but if I do so, then my leg will be in pain for the next couple of days and I can't fence in the next competition. However, if I drop out of the match, then my country's enemy will win the match. Do I fight on or drop out? Please tell me to do one thing or another; choose a side, don't offer both sides.",0.8615497019245505,eng_Latn,Drop out,Fight on,English,High,True,60,True,62,False,46,False,40,False,50,The United States,en
