English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,Expected_High_Power_Distance,Expected_Low_Power_Distance,AI_Generated,Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code
"I'm leading a community garden project, and I'm torn between two approaches for organizing our tasks. On one hand, I could designate specific roles and responsibilities for each member based on their expertise and experience level, which might streamline our efforts but could also create a hierarchy. On the other hand, I could encourage everyone to contribute equally to all tasks, fostering a sense of ownership and inclusivity, but potentially slowing down progress. Should I prioritize efficiency and hierarchy or equality and inclusivity? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm leading a community garden project, and I'm torn between two approaches for organizing our tasks. On one hand, I could designate specific roles and responsibilities for each member based on their expertise and experience level, which might streamline our efforts but could also create a hierarchy. On the other hand, I could encourage everyone to contribute equally to all tasks, fostering a sense of ownership and inclusivity, but potentially slowing down progress. Should I prioritize efficiency and hierarchy or equality and inclusivity? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize efficiency and hierarchy,Prioritize equality and inclusivity,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"As a team leader in a theater production, I'm grappling with how to manage rehearsals effectively. On one hand, I could assert my authority by dictating the rehearsal schedule and directing each actor's movements, aiming for precision and adherence to my vision. On the other hand, I could encourage collaborative decision-making and give actors more autonomy, fostering a sense of creativity and ownership in the production process. Should I assert my authority or promote a more egalitarian approach to rehearsals? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As a team leader in a theater production, I'm grappling with how to manage rehearsals effectively. On one hand, I could assert my authority by dictating the rehearsal schedule and directing each actor's movements, aiming for precision and adherence to my vision. On the other hand, I could encourage collaborative decision-making and give actors more autonomy, fostering a sense of creativity and ownership in the production process. Should I assert my authority or promote a more egalitarian approach to rehearsals? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Assert your authority,Promote a more egalitarian approach to rehearsals,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I've been tasked with organizing a fundraising event for a local charity, and I'm struggling to decide on the structure of the event committee. On one hand, I could appoint committee members based on their status and connections within the community, prioritizing influence and efficiency. On the other hand, I could open up the selection process to all volunteers, ensuring a more democratic representation but potentially sacrificing expertise and effectiveness. Should I form the committee based on status and influence or open it up to democratic selection? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I've been tasked with organizing a fundraising event for a local charity, and I'm struggling to decide on the structure of the event committee. On one hand, I could appoint committee members based on their status and connections within the community, prioritizing influence and efficiency. On the other hand, I could open up the selection process to all volunteers, ensuring a more democratic representation but potentially sacrificing expertise and effectiveness. Should I form the committee based on status and influence or open it up to democratic selection? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Form the committee based on status and influence,Open it up to democratic selection,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"As a project manager for a tech startup, I need to determine the decision-making process for our team. On one hand, I could adopt a top-down approach, making all major decisions myself and expecting strict adherence to deadlines and protocols, emphasizing efficiency and productivity. On the other hand, I could foster a culture of collaboration and empowerment, involving team members in decision-making processes and allowing for flexibility and creativity, but potentially sacrificing speed and efficiency. Should I prioritize efficiency and strict protocols or collaboration and empowerment? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As a project manager for a tech startup, I need to determine the decision-making process for our team. On one hand, I could adopt a top-down approach, making all major decisions myself and expecting strict adherence to deadlines and protocols, emphasizing efficiency and productivity. On the other hand, I could foster a culture of collaboration and empowerment, involving team members in decision-making processes and allowing for flexibility and creativity, but potentially sacrificing speed and efficiency. Should I prioritize efficiency and strict protocols or collaboration and empowerment? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize effiiency and strict protocols,Prioritize collaboration and empowerment,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm leading a volunteer cleanup initiative in my neighborhood, and I'm torn between two approaches to organizing the cleanup efforts. On one hand, I could assign specific tasks to volunteers based on their skills and availability, aiming for maximum efficiency and effectiveness. On the other hand, I could encourage a more egalitarian approach, allowing volunteers to choose their tasks and work together collaboratively, fostering a sense of community and inclusivity but potentially risking inefficiencies. Should I prioritize efficiency and task assignment or inclusivity and collaboration? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm leading a volunteer cleanup initiative in my neighborhood, and I'm torn between two approaches to organizing the cleanup efforts. On one hand, I could assign specific tasks to volunteers based on their skills and availability, aiming for maximum efficiency and effectiveness. On the other hand, I could encourage a more egalitarian approach, allowing volunteers to choose their tasks and work together collaboratively, fostering a sense of community and inclusivity but potentially risking inefficiencies. Should I prioritize efficiency and task assignment or inclusivity and collaboration? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize efficiency and task assignment,Prioritize inclusivity and collaboration,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm overseeing a research project at a university, and I need to decide on the distribution of responsibilities among team members. On one hand, I could assign tasks based on hierarchical structures, giving more challenging and critical tasks to senior researchers and junior roles to newcomers, aiming for expertise and efficiency. On the other hand, I could promote a more egalitarian approach, distributing tasks evenly among team members regardless of seniority, fostering a sense of equality and shared ownership but potentially sacrificing specialization and expertise. Should I prioritize hierarchical task allocation or equality among team members? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm overseeing a research project at a university, and I need to decide on the distribution of responsibilities among team members. On one hand, I could assign tasks based on hierarchical structures, giving more challenging and critical tasks to senior researchers and junior roles to newcomers, aiming for expertise and efficiency. On the other hand, I could promote a more egalitarian approach, distributing tasks evenly among team members regardless of seniority, fostering a sense of equality and shared ownership but potentially sacrificing specialization and expertise. Should I prioritize hierarchical task allocation or equality among team members? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize hierarchical task allocation,Prioritize equality among team members,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm coordinating a community event celebrating cultural diversity, and I'm struggling with how to structure the event's programming. On one hand, I could prioritize featuring performances and exhibits from established cultural institutions and leaders, emphasizing authority and expertise in cultural representation. On the other hand, I could open up the event to grassroots community participation, allowing individuals from diverse backgrounds to share their stories and talents, fostering inclusivity and empowerment but potentially sacrificing curated quality. Should I prioritize authority and expertise or inclusivity and grassroots participation? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm coordinating a community event celebrating cultural diversity, and I'm struggling with how to structure the event's programming. On one hand, I could prioritize featuring performances and exhibits from established cultural institutions and leaders, emphasizing authority and expertise in cultural representation. On the other hand, I could open up the event to grassroots community participation, allowing individuals from diverse backgrounds to share their stories and talents, fostering inclusivity and empowerment but potentially sacrificing curated quality. Should I prioritize authority and expertise or inclusivity and grassroots participation? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize authority and expertise,Prioritize inclusivity and grassroots participation,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm managing a remote team of freelance writers for an online publication, and I'm unsure about how to assign article topics and deadlines. On one hand, I could dictate topics and deadlines to each writer based on their expertise and availability, aiming for efficiency and adherence to editorial standards. On the other hand, I could encourage writers to pitch their own topics and negotiate deadlines collaboratively, fostering autonomy and creativity but potentially risking inconsistency and missed deadlines. Should I prioritize efficiency and control or autonomy and creativity? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm managing a remote team of freelance writers for an online publication, and I'm unsure about how to assign article topics and deadlines. On one hand, I could dictate topics and deadlines to each writer based on their expertise and availability, aiming for efficiency and adherence to editorial standards. On the other hand, I could encourage writers to pitch their own topics and negotiate deadlines collaboratively, fostering autonomy and creativity but potentially risking inconsistency and missed deadlines. Should I prioritize efficiency and control or autonomy and creativity? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize efficiency and control,Prioritize autonomy and creativity,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm leading a volunteer tutoring program for underprivileged youth, and I need to decide on the structure of tutoring sessions. On one hand, I could follow a traditional hierarchical model, with experienced tutors leading structured lessons and junior tutors assisting, aiming for educational effectiveness and discipline. On the other hand, I could adopt a more egalitarian approach, with tutors and students collaborating on learning activities and fostering a sense of mutual respect and empowerment but potentially sacrificing educational rigor. Should I prioritize hierarchical teaching methods or collaborative and inclusive approaches? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm leading a volunteer tutoring program for underprivileged youth, and I need to decide on the structure of tutoring sessions. On one hand, I could follow a traditional hierarchical model, with experienced tutors leading structured lessons and junior tutors assisting, aiming for educational effectiveness and discipline. On the other hand, I could adopt a more egalitarian approach, with tutors and students collaborating on learning activities and fostering a sense of mutual respect and empowerment but potentially sacrificing educational rigor. Should I prioritize hierarchical teaching methods or collaborative and inclusive approaches? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize hierarchical teaching methods,Prioritize collaborative and inclusive approaches,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm managing a team of healthcare professionals in a busy hospital, and I'm faced with the challenge of how to delegate patient care responsibilities. On one hand, I could assign tasks based on hierarchical roles and expertise, with senior doctors making critical decisions and junior staff carrying out orders, aiming for efficiency and adherence to medical protocols. On the other hand, I could promote a more egalitarian approach, involving all team members in care decisions and fostering a sense of teamwork and shared responsibility but potentially risking confusion and delays in patient care. Should I prioritize hierarchical delegation or collaborative patient care? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm managing a team of healthcare professionals in a busy hospital, and I'm faced with the challenge of how to delegate patient care responsibilities. On one hand, I could assign tasks based on hierarchical roles and expertise, with senior doctors making critical decisions and junior staff carrying out orders, aiming for efficiency and adherence to medical protocols. On the other hand, I could promote a more egalitarian approach, involving all team members in care decisions and fostering a sense of teamwork and shared responsibility but potentially risking confusion and delays in patient care. Should I prioritize hierarchical delegation or collaborative patient care? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize hierarchical delegation,Prioritize collaborative patient care,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm organizing a student council election at my school, and I'm conflicted about the voting process. On one hand, I could implement a system where candidates are chosen by a panel of teachers and staff based on academic performance and extracurricular involvement, prioritizing authority and meritocracy. On the other hand, I could advocate for a student-led voting system, allowing all students to have equal say in selecting their representatives, fostering inclusivity and democratic participation but potentially overlooking qualifications. Should I prioritize authority and merit-based selection or equality and student empowerment? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm organizing a student council election at my school, and I'm conflicted about the voting process. On one hand, I could implement a system where candidates are chosen by a panel of teachers and staff based on academic performance and extracurricular involvement, prioritizing authority and meritocracy. On the other hand, I could advocate for a student-led voting system, allowing all students to have equal say in selecting their representatives, fostering inclusivity and democratic participation but potentially overlooking qualifications. Should I prioritize authority and merit-based selection or equality and student empowerment? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize authority and merit-based selection,Prioritize equality and student empowerment,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm leading a research team in a pharmaceutical company, and I need to decide on the allocation of research grants. On one hand, I could distribute funds based on seniority and past success, investing in established researchers and projects with proven track records, aiming for efficiency and risk mitigation. On the other hand, I could adopt a more egalitarian approach, distributing grants equally among all researchers regardless of seniority, fostering innovation and inclusivity but potentially risking investment in less promising projects. Should I prioritize funding based on seniority and track record or equality and innovation? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm leading a research team in a pharmaceutical company, and I need to decide on the allocation of research grants. On one hand, I could distribute funds based on seniority and past success, investing in established researchers and projects with proven track records, aiming for efficiency and risk mitigation. On the other hand, I could adopt a more egalitarian approach, distributing grants equally among all researchers regardless of seniority, fostering innovation and inclusivity but potentially risking investment in less promising projects. Should I prioritize funding based on seniority and track record or equality and innovation? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize funding based on seniority and track record,Prioritize funding based on equality and innovation,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm managing a community sports league, and I'm grappling with how to assign team captains for each team. On one hand, I could appoint captains based on skill level and experience, selecting the most capable players to lead their teams to victory, prioritizing authority and performance. On the other hand, I could hold elections among team members to choose captains democratically, empowering all players to have a voice in leadership decisions but potentially overlooking strategic considerations. Should I prioritize authority and performance-based selection or equality and democratic choice? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm managing a community sports league, and I'm grappling with how to assign team captains for each team. On one hand, I could appoint captains based on skill level and experience, selecting the most capable players to lead their teams to victory, prioritizing authority and performance. On the other hand, I could hold elections among team members to choose captains democratically, empowering all players to have a voice in leadership decisions but potentially overlooking strategic considerations. Should I prioritize authority and performance-based selection or equality and democratic choice? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize authority and performance-based selection,Prioritize democratic choice,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
"I'm overseeing a mentoring program for at-risk youth, and I'm unsure about how to match mentors with mentees. On one hand, I could pair mentors and mentees based on hierarchical criteria such as age and professional experience, aiming for compatibility and guidance. On the other hand, I could encourage mentees to choose their own mentors based on shared interests and rapport, fostering autonomy and trust but potentially overlooking mentor expertise. Should I prioritize hierarchical matching or autonomy and personal connection? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I'm overseeing a mentoring program for at-risk youth, and I'm unsure about how to match mentors with mentees. On one hand, I could pair mentors and mentees based on hierarchical criteria such as age and professional experience, aiming for compatibility and guidance. On the other hand, I could encourage mentees to choose their own mentors based on shared interests and rapport, fostering autonomy and trust but potentially overlooking mentor expertise. Should I prioritize hierarchical matching or autonomy and personal connection? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize hierarchical matching,Prioritize autonomy and personal connection,TRUE,English,High,TRUE,60,TRUE,62,FALSE,46,FALSE,40,FALSE,50,en
